"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
2746206,"November 2, 2023","District of Columbia",Washington,"23rd St SE and Savannah Ter SE",0,1,0,0,0,N/A
2746195,"November 2, 2023","District of Columbia",Washington,"14th St NW and Monroe St NW",0,2,0,0,0,N/A
2746190,"November 2, 2023",Alabama,Birmingham,"4567 Pinson Valley Pkwy",1,1,0,0,0,N/A
2746182,"November 2, 2023",Ohio,Youngstown,"50 block of Oneta St",1,0,0,0,0,N/A
2746177,"November 2, 2023",Alabama,Birmingham,"100 block of 9th Ave N",0,1,0,0,0,N/A
2746179,"November 2, 2023",Alabama,Birmingham,"200 9th Ct N",0,1,0,0,0,N/A
2746175,"November 2, 2023",Alabama,Birmingham,"1101 Third Ave W",0,1,0,0,0,N/A
2746159,"November 2, 2023",Tennessee,Memphis,"6600 block of Crystal Hill Dr",2,1,0,0,0,N/A
2746141,"November 2, 2023",Tennessee,Memphis,"2300 block of Frayser Blvd",0,1,0,0,0,N/A
2746121,"November 2, 2023","North Carolina","New Bern","Trent Ct",1,0,0,0,0,N/A
2746065,"November 2, 2023",Illinois,Peoria,"600 block of E Nebraska Ave",0,1,0,0,0,N/A
2746060,"November 2, 2023",Ohio,Marysville,"12780 Kaiser Rd",1,0,1,0,0,N/A
2746024,"November 2, 2023",Tennessee,Memphis,"3874 Macon Rd",0,1,0,0,0,N/A
2745994,"November 2, 2023",Georgia,Atlanta,"1660 Jonesboro Road SE",0,1,0,0,1,N/A
2745978,"November 2, 2023",Tennessee,Memphis,"1586 Madison Ave",0,1,0,0,0,N/A
2745962,"November 2, 2023",California,Sylmar,"13145 Alta Vista Way",0,1,0,0,0,N/A
2745940,"November 2, 2023",Delaware,"Mardela Springs","24940 Delmar Rd",0,0,0,0,1,N/A
2745922,"November 2, 2023",Florida,Pensacola,"2300 block of W Blount St",1,0,0,0,0,N/A
2745893,"November 2, 2023",Texas,Tyler,"1000 block of E Locust St",0,1,0,0,0,N/A
2745853,"November 2, 2023",California,Sacramento,"5240 Del Norte Blvd",1,0,0,0,0,N/A
2745842,"November 2, 2023",Texas,Elmendorf,"Streich Rd",1,0,0,0,0,N/A
2745828,"November 2, 2023","South Carolina",Bishopville,"Peel Rd",0,1,0,0,0,N/A
2745798,"November 2, 2023",Florida,"Fort Lauderdale","619 N Andrews Ave",0,1,0,0,0,N/A
2745672,"November 2, 2023",Texas,Pasadena,"1000 block of Satsuma St",1,0,0,0,0,N/A
2745654,"November 2, 2023",Kansas,Topeka,"2815 SE 25th St",0,1,0,0,0,N/A
2745647,"November 2, 2023",Idaho,Lewiston,"Powers Ave",0,0,0,1,1,N/A
2746268,"November 2, 2023",Virginia,Petersburg,N/A,0,1,0,0,0,N/A
2746260,"November 2, 2023",Tennessee,Memphis,"4500 block of Hansberry Drive",0,1,0,0,0,N/A
2746258,"November 2, 2023",Ohio,Elyria,"1000 Chestnut Commons",0,1,0,0,0,N/A
2746250,"November 2, 2023",Maryland,Baltimore,"4300 block of Belair Rd",0,1,0,0,0,N/A
2746231,"November 2, 2023",Virginia,Carrollton,"15000 block of Smiths Neck Rd",1,0,0,0,0,N/A
2745432,"November 1, 2023",Louisiana,Alexandria,"700 block of Willow Glen Rd",1,0,0,0,0,N/A
2745425,"November 1, 2023",Maryland,Baltimore,N/A,0,1,0,0,0,N/A
2745407,"November 1, 2023",Ohio,Cincinnati,"2608 Short Vine St",0,1,0,0,0,N/A
2745393,"November 1, 2023",Georgia,Savannah,"1000 block of Shawnee St",0,1,0,0,0,N/A
2745378,"November 1, 2023",California,Oakland,"1416 85th Ave",0,1,0,0,0,N/A
2745375,"November 1, 2023",California,"Los Angeles","512 S Main St",0,1,0,0,0,N/A
2745372,"November 1, 2023",Georgia,Douglassville,"8705 Campbellton St",0,0,0,0,1,N/A
2746143,"November 1, 2023",Missouri,"Poplar Bluff","100 block of W Lexington Ave",0,2,0,0,0,N/A
2746131,"November 1, 2023","North Carolina",Plymouth,"207 Brinkley Ave",2,0,0,0,0,N/A
2746124,"November 1, 2023",Montana,"Great Falls","3000 block of Lower River Rd",0,1,0,0,1,N/A
2744735,"November 1, 2023",Arkansas,"Pine Bluff","1105 E 26th Ave",1,0,0,0,0,N/A
2745294,"November 1, 2023",Florida,Welaka,"104 Penny Acres Ln",1,0,0,0,1,N/A
2745283,"November 1, 2023",Georgia,Atlanta,"67 Johnson Rd NW",0,3,0,0,0,N/A
2746068,"November 1, 2023",Tennessee,Knoxville,"2120 W Clinch Ave",0,0,0,1,1,N/A
2745607,"November 1, 2023",Ohio,"Washington Court House","1000 block of E Paint St",0,0,1,0,0,N/A
2746037,"November 1, 2023","North Carolina",Charlotte,"3750 E Independence Blvd",1,0,0,0,0,N/A
2745233,"November 1, 2023","New York",Syracuse,"121 Ballantyne Rd",0,1,0,0,0,N/A
2745367,"November 1, 2023",Georgia,Douglas,"800 block of Bowens Mill Road SE",0,0,0,1,1,N/A
2745224,"November 1, 2023",Pennsylvania,Pittsburgh,N/A,0,1,0,0,0,N/A
2745196,"November 1, 2023",Georgia,Atlanta,"Ashford Dunwoody Rd and Ashford Club Ct",0,0,0,1,0,N/A
2745198,"November 1, 2023",Texas,"Fort Worth (Lake Worth)","6360 Lake Worth Blvd",0,1,0,0,0,N/A
2745194,"November 1, 2023",Texas,Rowlett,"I-30 and Dalrock Rd",0,0,0,1,0,N/A
