Neighborhood,Count
allerton,108
alphabet-city,140
annandale,98
arden-heights,82
arrochar,43
arverne,44
astoria,1000
auburndale,65
bath-beach,59
battery-park-city,189
bay-ridge,711
bay-terrace-staten-island,28
bay-terrace,48
baychester,17
bayside,236
bayswater,22
bed-stuy,1000
bedford-park,47
beechhurst,20
belle-harbor,95
bellerose,80
belmont,49
bensonhurst,303
bergen-beach,37
bloomfield,2
boerum-hill,266
borough-park,74
breezy-point,61
briarwood,78
brighton-beach,73
broad-channel,23
brooklyn-heights,393
brookville,16
brownsville,54
bulls-heads,33
bushwick,919
cambria-heights,23
canarsie,73
carnegie-hill,127
carroll-gardens,337
castle-hill,40
castleton-corners,32
central-harlem,320
charleston,5
chelsea-staten-island,3
chelsea,749
chinatown,177
city-island,33
civic-center,20
claremont-village,5
claremont,6
clason-point,12
clifton,8
clinton-hill,592
co-op-city,34
cobble-hill,268
college-point,71
columbia-street-waterfront-district,82
columbus-circle,43
concord,7
concourse-village,12
concourse,38
coney-island,96
corona,36
country-club,52
crown-heights,1000
cypress-hills,45
ditmars,50
ditmas-park,270
dongan-hills,47
douglaston,51
downtown-brooklyn,198
dumbo,91
dyker-heights,156
east-elmhurst,98
east-flatbush,94
east-harlem,432
east-new-york,99
east-village,1000
east-williamsburg,400
eastchester,8
edenwald,4
edgemere,7
elm-park,12
elmhurst,140
eltingville,50
emerson-hill,9
far-rockaway,44
fieldston,8
financial-district,307
flatbush,232
flatiron,134
flatlands,28
flushing,216
fordham,36
forest-hills,405
fort-george,62
fort-greene,357
fort-hamilton,27
fort-wadsworth,8
fresh-meadows,106
garment-district,29
gerritsen-beach,72
glendale,115
gowanus,164
gramercy,316
graniteville,10
grant-city,27
grasmere,25
gravesend,112
great-kills,81
greenpoint,745
greenridge,3
greenwich-village,409
greenwood-heights,185
grymes-hill,12
hamilton-beach,12
hamilton-heights,342
heartland-village,14
hells-kitchen-clinton,845
high-bridge,30
hillcrest,10
hollis,24
holliswood,5
homecrest,10
howard-beach,95
hudson-heights,237
hudson-square,26
huguenot,39
hunts-point,22
inwood,781
jackson-heights,478
jamaica-estates,48
jamaica-hills,14
jamaica,143
kensington,336
kew-gardens-hills,44
kew-gardens,145
kingsbridge-heights,44
kingsbridge,71
kips-bay,220
laurelton,21
lenox-hill,94
lighthouse-hills,10
lincoln-square,118
lindenwood,8
little-italy,59
little-neck,64
livingston,8
long-island-city,386
longwood,9
lower-east-side,620
malba,6
manhattan-beach,38
manhattan-valley,162
marble-hill,53
marine-park,160
mariners-harbor,22
maspeth,82
meatpacking-district,31
meiers-corners,7
melrose,20
middle-village,124
midland-beach,29
midtown-east,139
midtown-south,18
midtown,113
midwood,139
mill-basin,51
morningside-heights,586
morris-heights,24
morris-park,92
morrisania,44
mott-haven,74
mount-hope,8
murray-hill-queens,17
murray-hill,299
neponsit,25
new-brighton,32
new-dorp-beach,11
new-dorp,48
new-springville,32
noho,79
nolita,113
nomad,42
norwood,45
oakland-gardens,58
oakwood,28
ocean-breeze,2
ocean-hill,41
old-town,16
olinville,5
other,504
ozone-park,69
park-slope-south,69
park-slope,1000
parkchester,48
pelham-bay,57
pelham-gardens,28
pelham-parkway,63
pleasant-plains,7
pomonok,2
port-morris,11
port-richmond,28
princes-bay,22
prospect-heights,609
prospect-lefferts-gardens,397
prospect-park-south,120
queens-village,83
randall-manor,15
red-hook,120
rego-park,142
richmond-hill,94
richmond-town,19
ridgewood,279
riverdale,225
rochdale-village,2
rockaway-beach,68
rockaway-park,59
roosevelt-island,57
rosebank,16
rosedale,24
rossville,18
roxbury,9
schuylerville,12
sea-gate,8
seaside,2
sheepshead-bay,186
shore-acres,9
silver-lake,10
soho,205
soundview,49
south-beach,28
south-jamaica,20
south-ozone-park,41
south-street-seaport,37
springfield-gardens,9
spuyten-duyvil,47
st-albans,23
st-george,59
stapleton,35
starrett-city,10
stuy-town,164
sugar-hill,73
sunnyside-staten-island,16
sunnyside,359
sunset-park,393
sutton-place,68
throgs-neck,85
times-square-theater-district,27
todt-hill,12
tompkinsville,12
tottenville,55
travis,16
tremont-east-tremont,14
tribeca,288
tudor-city,16
turtle-bay,82
union-square,95
unionport,4
university-heights,28
upper-east-side,955
upper-west-side,1000
utopia,2
van-nest,9
vinegar-hill,21
wakefield,25
washington-heights,938
west-brighton,66
west-farms,16
west-harlem,224
west-village,503
westchester-square,11
westerleigh,83
whitestone,92
williamsbridge,42
williamsburg,963
willowbrook,23
windsor-terrace,360
woodhaven,76
woodlawn,105
woodrow,13
woodside,222
yorkville,503
